severity,ErrorID,Description
1,101001,(Primary) Failover cable OK.
1,101002,(Primary) Bad failover cable.
1,101003,(Primary) Failover cable not connected (this unit).
1,101005,(Primary) Error reading failover cable status.
1,103001,(Primary) No response from other firewall (reason code = code).
1,103002,(Primary) Other firewall network interface interface_number OK.
1,103003,(Primary) Other firewall network interface interface_number failed.
1,103004,(Primary) Other firewall reports this firewall failed. Reason: reason-string
1,103005,(Primary) Other firewall reporting failure. Reason: SSM card failure
1,103006,(Primary|Secondary) Mate version ver_num is not compatible with ours ver_num
1,103007,(Primary|Secondary) Mate version ver_num is not identical with ours ver_num
1,103008,Mate hwdib index is not compatible
1,104001,(Primary) Switching to ACTIVE (cause: string ).
1,104003,(Primary) Switching to FAILED.
1,104004,(Primary) Switching to OK.
1,104500,(Primary|Secondary) Switching to ACTIVE (cause: reason)
1,104501,(Primary|Secondary) Switching to BACKUP (cause: reason).
1,104502,(Primary|Secondary) Becoming Backup unit failed.
1,105001,(Primary) Disabling failover.
1,105002,(Primary) Enabling failover.
1,105003,(Primary) Monitoring on interface interface_name waiting
1,105004,(Primary) Monitoring on interface interface_name normal
1,105005,(Primary) Lost Failover communications with mate on interface interface_name.
1,105006,(Primary) Link status Up on interface interface_name.
1,105008,(Primary) Testing interface interface_name.
1,105009,(Primary) Testing on interface interface_name {Passed|Failed}.
3,105010,(Primary) Failover message block alloc failed.
1,105011,(Primary) Failover cable communication failure
1,105020,(Primary) Incomplete/slow config replication
1,105021,(failover_unit ) Standby unit failed to sync due to a locked context_name config. Lock held by lock_owner_name
1,105031,Failover LAN interface is up
1,105032,LAN Failover interface is down
1,105033,LAN FO cmd Iface down and up again
1,105034,Receive a LAN_FAILOVER_UP message from peer.
1,105035,Receive a LAN failover interface down msg from peer.
1,105036,dropped a LAN Failover command message.
1,105037,The primary and standby units are switching back and forth as the active unit.
1,105038,(Primary) Interface count mismatch
1,105039,(Primary) Unable to verify the Interface count with mate. Failover may be disabled in mate.
1,105040,(Primary) Mate failover version is not compatible.
1,105041,cmd failed during sync
1,105042,(Primary) Failover interface OK
1,105043,(Primary) Failover interface failed
1,105044,(Primary) Mate operational mode mode is not compatible with my mode mode.
1,105045,(Primary) Mate license (number contexts) is not compatible with my license (number contexts).
1,105046,(Primary|Secondary) Mate has a different chassis
1,105047,Mate has a io_card_name1 card in slot slot_number which is different from my io_card_name2
1,105048,(unit ) Mate’s service module (application ) is different from mine (application )
3,105050,ASAv ethernet interface mismatch
5,105500,(Primary|Secondary) Started HA.
5,105501,(Primary|Secondary) Stopped HA.
1,105502,(Primary|Secondary) Restarting Cloud HA on this unit, reason: string.
5,105503,(Primary|Secondary) Internal state change from previous_state to new_state
5,105504,(Primary|Secondary) Connected to peer peer-ip:port
4,105505,(Primary|Secondary) Failed to connect to peer unit peer-ip:port
2,105506,(Primary|Secondary) Unable to create socket on port port for (failover connection | load balancer probes), error: error_string
2,105507,(Primary|Secondary) Unable to bind socket on port port for (failover connection | load balancer probes), error: error_string
2,105508,(Primary|Secondary) Error creating failover connection socket on port port
3,105509,(Primary|Secondary) Error sending message_name message to peer unit peer-ip, error: error_string
3,105510,(Primary|Secondary) Error receiving message from peer unit peer-ip, error: error_string
3,105511,(Primary|Secondary) Incomplete read of message header of message from peer unit peer-ip: bytes bytes read of expected header_length header bytes.
3,105512,(Primary|Secondary) Error receiving message body of message from peer unit peer-ip, error: error_string
3,105513,(Primary|Secondary) Incomplete read of message body of message from peer unit peer-ip: bytes bytes read of expected message_length message body bytes
3,105514,(Primary|Secondary) Error occurred when responding to message_name message received from peer unit peer-ip, error: error_string
3,105515,(Primary|Secondary) Error receiving message_name message from peer unit peer-ip, error: error_string
3,105516,(Primary|Secondary) Incomplete read of message header of message_name message from peer unit peer-ip: bytes bytes read of expected header_length header bytes
3,105517,(Primary|Secondary) Error receiving message body of message_name message from peer unit peer-ip, error: error_string
3,105518,(Primary|Secondary) Incomplete read of message body of message_name message from peer unit peer-ip: bytes bytes read of expected message_length message body bytes
3,105519,(Primary|Secondary) Invalid response to message_name message received from peer unit peer-ip: type message_type, version message_version, length message_length
5,105520,(Primary|Secondary) Responding to Azure Load Balancer probes
5,105521,(Primary|Secondary) No longer responding to Azure Load Balancer probes
